LATITUDE,LONGITUDE,SATELLITE,CONFIDENCE,VERSION,BRIGHT_T31,FRP,DAYNIGHT
11.9665900000,106.5682800000,A,"47",6.1NRT,299.1100000000,16.4800000000,D
12.5204400000,109.1922800000,A,"33",6.1NRT,298.8300000000,9.1100000000,D
12.1747100000,106.5687100000,A,"65",6.1NRT,299.7400000000,25.3700000000,D
12.1256800000,106.1249100000,A,"52",6.1NRT,296.5800000000,18.3800000000,D
12.3366700000,107.3576700000,A,"72",6.1NRT,293.7400000000,24.8000000000,D
12.3344900000,107.3439900000,A,"74",6.1NRT,294.9900000000,27.8000000000,D
12.3645800000,107.4643600000,A,"100",6.1NRT,300.2000000000,408.5800000000,D
12.3624900000,107.4511000000,A,"93",6.1NRT,293.5000000000,125.8200000000,D
12.3703700000,107.4703000000,A,"81",6.1NRT,293.6600000000,83.7700000000,D
12.3681900000,107.4570700000,A,"94",6.1NRT,297.3900000000,176.6200000000,D
12.3035300000,107.0661900000,A,"61",6.1NRT,296.0800000000,49.9600000000,D
12.4280400000,107.4876200000,A,"48",6.1NRT,298.6000000000,28.2100000000,D
12.4215600000,107.4471400000,A,"89",6.1NRT,296.8400000000,64.8700000000,D
12.4365500000,107.4722700000,A,"77",6.1NRT,300.0100000000,32.0900000000,D
12.3872100000,107.0224400000,A,"96",6.1NRT,298.0100000000,119.0300000000,D
12.3848500000,107.0076400000,A,"94",6.1NRT,297.0700000000,186.0600000000,D
12.3895700000,107.0319500000,A,"36",6.1NRT,298.2900000000,16.9700000000,D
12.3871400000,107.0173200000,A,"99",6.1NRT,298.6100000000,147.5200000000,D
12.3846700000,107.0025300000,A,"86",6.1NRT,294.9500000000,56.6000000000,D
12.4993900000,107.5647000000,A,"94",6.1NRT,297.8100000000,89.2100000000,D
12.4973000000,107.5518300000,A,"78",6.1NRT,297.6500000000,32.1300000000,D
12.4887200000,107.4989900000,A,"60",6.1NRT,294.7700000000,15.9400000000,D
12.4579800000,107.3104300000,A,"88",6.1NRT,294.6400000000,62.6300000000,D
12.4557600000,107.2968500000,A,"77",6.1NRT,294.2500000000,41.4100000000,D
12.4564300000,107.0944700000,A,"61",6.1NRT,296.4800000000,19.3400000000,D
12.5410100000,107.3857800000,A,"63",6.1NRT,302.1100000000,20.7700000000,D
12.5731400000,107.3800400000,A,"60",6.1NRT,295.0800000000,14.8000000000,D
12.8177100000,108.7914700000,A,"58",6.1NRT,293.2500000000,11.3500000000,D
12.9573000000,109.1025000000,A,"48",6.1NRT,295.8300000000,11.8800000000,D
12.8544200000,107.6113700000,A,"45",6.1NRT,302.2100000000,12.8800000000,D
12.8281600000,105.6606100000,A,"54",6.1NRT,296.2400000000,18.7000000000,D
12.8250900000,105.6427200000,A,"50",6.1NRT,295.1900000000,18.4300000000,D
13.3093800000,108.1984100000,A,"60",6.1NRT,300.4600000000,11.6600000000,D
13.3048500000,108.0470800000,A,"30",6.1NRT,298.2000000000,13.2700000000,D
13.3704900000,108.2652200000,A,"53",6.1NRT,300.7600000000,10.4300000000,D
13.0682800000,104.9162800000,A,"61",6.1NRT,293.8700000000,26.1000000000,D
13.6001800000,107.7662000000,A,"62",6.1NRT,302.8100000000,18.9400000000,D
13.2687500000,105.0929000000,A,"53",6.1NRT,293.4500000000,27.2000000000,D
13.6302800000,107.2085400000,A,"32",6.1NRT,295.4400000000,12.4300000000,D
13.2691200000,105.0858100000,A,"37",6.1NRT,292.7400000000,24.2400000000,D
13.8375300000,108.2991900000,A,"56",6.1NRT,302.0600000000,16.8000000000,D
13.2857600000,104.8791700000,A,"18",6.1NRT,294.3400000000,31.2000000000,D
13.2504400000,104.6741300000,A,"80",6.1NRT,295.2400000000,67.4600000000,D
14.0419400000,108.9601400000,A,"53",6.1NRT,298.8900000000,8.4900000000,D
13.4556500000,105.2621200000,A,"68",6.1NRT,291.9800000000,37.9500000000,D
13.4990700000,105.4447800000,A,"78",6.1NRT,290.4800000000,68.6800000000,D
13.7265600000,106.7582100000,A,"66",6.1NRT,299.6400000000,17.1700000000,D
13.5556300000,105.6351500000,A,"34",6.1NRT,294.2400000000,23.6300000000,D
13.5602700000,105.6274300000,A,"68",6.1NRT,293.8000000000,30.1700000000,D
13.4436700000,104.8793600000,A,"33",6.1NRT,293.6600000000,18.0000000000,D
13.5872700000,105.6404300000,A,"36",6.1NRT,295.1500000000,24.7400000000,D
13.5843200000,105.6230400000,A,"88",6.1NRT,294.8500000000,84.2400000000,D
13.7873200000,106.3548400000,A,"70",6.1NRT,295.2000000000,25.9200000000,D
13.6452800000,105.3687600000,A,"94",6.1NRT,294.2500000000,345.1700000000,D
13.6576200000,105.3670200000,A,"42",6.1NRT,292.8000000000,33.7700000000,D
14.0171900000,107.1166500000,A,"76",6.1NRT,299.7400000000,21.4400000000,D
13.8357400000,105.9483400000,A,"0",6.1NRT,295.3400000000,47.4900000000,D
13.3859600000,103.0961800000,A,"47",6.1NRT,296.2400000000,45.5400000000,D
13.3854300000,103.0916400000,A,"21",6.1NRT,296.2000000000,39.0800000000,D
15.9126500000,121.0929800000,A,"31",6.1NRT,298.7000000000,54.2600000000,D
14.3384900000,108.0958800000,A,"78",6.1NRT,304.1000000000,17.8500000000,D
14.1386400000,106.3825500000,A,"32",6.1NRT,298.0100000000,15.1000000000,D
14.0098200000,105.5940100000,A,"78",6.1NRT,295.4600000000,41.6500000000,D
14.0172000000,105.6055800000,A,"56",6.1NRT,293.6000000000,20.1900000000,D
14.0142200000,105.5882300000,A,"49",6.1NRT,293.7700000000,17.9100000000,D
14.0877800000,105.7328700000,A,"58",6.1NRT,297.9100000000,21.5800000000,D
14.6298100000,108.9972700000,A,"72",6.1NRT,298.8000000000,13.4500000000,D
14.6283000000,108.9873700000,A,"49",6.1NRT,298.2600000000,6.0400000000,D
14.1031000000,105.4935200000,A,"78",6.1NRT,296.8600000000,42.3600000000,D
14.1000900000,105.4760400000,A,"59",6.1NRT,298.5500000000,22.7400000000,D
14.0178400000,105.0001800000,A,"40",6.1NRT,296.4600000000,20.3600000000,D
14.5598800000,108.2004200000,A,"100",6.1NRT,298.0600000000,206.9200000000,D
14.5509200000,108.1436200000,A,"54",6.1NRT,303.3800000000,23.6200000000,D
14.5492500000,108.1330400000,A,"94",6.1NRT,299.5300000000,65.3400000000,D
14.7764600000,108.9397200000,A,"78",6.1NRT,298.8400000000,18.2700000000,D
14.7536300000,108.6643500000,A,"60",6.1NRT,297.2700000000,6.9000000000,D
14.3460600000,105.9615200000,A,"45",6.1NRT,292.5300000000,15.7400000000,D
14.0293900000,104.2506600000,A,"46",6.1NRT,297.7200000000,34.1600000000,D
14.3426100000,105.9553500000,A,"69",6.1NRT,294.2700000000,24.4700000000,D
14.3459100000,105.9048800000,A,"43",6.1NRT,294.6800000000,12.5700000000,D
14.7974800000,107.9559900000,A,"100",6.1NRT,306.8000000000,281.6200000000,D
14.8874600000,108.4644900000,A,"56",6.1NRT,297.8000000000,9.7700000000,D
14.2866400000,104.7328300000,A,"60",6.1NRT,297.7600000000,38.0200000000,D
14.9684500000,108.7354200000,A,"98",6.1NRT,297.0800000000,81.9300000000,D
14.9740600000,108.7390200000,A,"80",6.1NRT,294.5000000000,23.0300000000,D
14.9628300000,108.2891500000,A,"81",6.1NRT,295.7500000000,28.9800000000,D
14.7806700000,107.1400200000,A,"44",6.1NRT,301.9200000000,13.7700000000,D
14.8139200000,107.2802600000,A,"26",6.1NRT,302.8600000000,14.5200000000,D
14.6254900000,106.1196600000,A,"68",6.1NRT,296.3300000000,23.8600000000,D
14.6906400000,106.4470100000,A,"38",6.1NRT,300.8600000000,14.6900000000,D
15.0055500000,108.3721800000,A,"43",6.1NRT,297.9000000000,7.6300000000,D
15.0038600000,108.3611600000,A,"64",6.1NRT,297.1700000000,11.8800000000,D
14.9054200000,107.6068600000,A,"69",6.1NRT,303.5900000000,17.9700000000,D
14.7646400000,106.3385100000,A,"48",6.1NRT,295.8700000000,11.9900000000,D
14.9026200000,107.1267400000,A,"73",6.1NRT,299.5900000000,28.2100000000,D
