"","Country.of.next.residence","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","Total"
"164","Jamaica",2,6,2,4,7,0,1,0,1,1,2,26
"165","Grenada",4,0,0,0,0,0,0,0,1,2,0,7
"166","Guatemala",20,19,21,22,29,20,13,10,8,11,13,186
"167","Guyana",0,0,0,2,1,0,2,4,1,8,2,20
"168","Haiti",1,1,5,11,14,5,6,3,2,1,3,52
"169","Honduras",13,5,9,11,7,7,4,5,10,7,4,82
"170","Mexico",129,139,211,179,210,248,309,306,226,251,170,2378
"171","Nicaragua",11,16,9,5,10,8,7,6,9,4,3,88
"172","Panama",14,16,47,78,72,74,103,81,29,25,29,568
"173","Paraguay",13,16,16,25,27,25,20,14,13,15,13,197
"174","Peru",128,224,261,280,341,352,315,264,220,198,202,2785
"175","Saint Kitts and Nevis",0,0,0,0,2,0,0,0,0,0,0,2
"176","Saint Lucia",1,2,2,3,0,1,0,0,1,0,0,10
"177","Saint Vincent and The Grenadines",0,1,0,0,4,3,0,1,8,0,0,17
"178","United States",1421,1456,1994,2343,2712,2947,2862,3181,3209,3209,2576,27910
"179","Suriname",1,1,0,2,0,0,1,0,0,0,0,5
"180","Trinidad and Tobago",0,0,0,0,2,5,0,0,1,0,0,8
"181","Uruguay",42,33,35,47,50,28,27,22,17,19,29,349
"182","Venezuela, Bolivarian Republic of",135,107,141,246,206,195,161,91,73,69,75,1499
"183","Australia",376,344,529,755,1038,1220,1440,1759,1776,1769,1731,12737
"184","Fiji",1,1,0,1,0,1,1,3,0,2,0,10
"185","Kiribati",0,0,0,0,0,0,0,1,0,0,0,1
"186","Micronesia, Federated States of",0,0,0,0,0,0,1,0,0,0,0,1
"187","Nauru",0,1,0,0,0,2,1,0,0,0,0,4
"188","New Zealand",26,45,62,64,57,107,108,140,136,153,143,1041
"189","Palau",0,0,2,4,0,0,1,0,1,0,1,9
"190","Papua New Guinea",0,0,3,1,1,1,1,2,1,1,1,12
"191","Samoa",0,0,0,1,0,0,0,0,2,0,0,3
"192","Tuvalu",0,0,1,0,0,0,0,0,0,0,0,1
"193","Vanuatu",0,2,0,0,0,0,0,0,0,0,0,2
"194","Data extracted on 23 Mar 2022 13:11 UTC (GMT) fromI.Stat",0,0,0,0,0,0,0,0,0,0,0,0
