Select time,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
United Arab Emirates,78,63,70,106,206,216,270,166,175,141,108
Philippines,77,101,127,127,114,112,118,122,131,133,116
Georgia,..,5,10,9,12,10,16,24,30,19,12
Japan,81,71,78,87,96,78,110,98,85,92,63
Jordan,7,5,13,11,24,11,20,32,27,9,18
India,160,179,241,302,341,357,279,221,201,176,174
Indonesia,10,8,19,23,18,23,19,30,15,27,15
"Iran, Islamic Republic of",..,1,7,9,9,9,11,8,3,6,7
Iraq,3,4,3,4,2,..,2,3,5,3,14
Israel,13,31,41,33,46,28,63,62,22,40,12
Kazakhstan,3,11,26,8,11,13,11,26,27,16,8
Kyrgyzstan,1,1,..,1,..,1,2,..,5,4,3
Kuwait,7,8,4,13,13,16,13,5,7,8,13
Lao People's Democratic Republic,..,..,5,..,..,2,..,..,3,..,1
Lebanon,9,37,29,19,21,36,16,16,25,16,21
Malaysia,5,12,6,15,15,20,21,11,13,8,12
Maldives,..,..,..,2,..,..,..,1,..,..,1
Mongolia,..,..,..,..,..,1,1,2,..,..,..
Myanmar,5,..,..,1,1,1,3,7,1,2,3
Nepal,..,1,2,4,1,..,3,2,6,3,3
Oman,3,3,4,2,12,7,10,1,22,5,13
Pakistan,123,141,182,201,239,244,173,166,153,107,119
Qatar,13,15,17,24,20,25,53,40,28,35,22
Singapore,13,22,38,41,71,58,63,45,51,40,45
Syrian Arab Republic,9,13,22,7,13,2,2,1,11,9,37
Sri Lanka,95,133,127,178,189,189,184,159,136,104,82
Tajikistan,..,..,..,..,..,..,..,..,..,..,1
"Taiwan, Province of China",1,2,5,6,17,11,5,15,7,4,16
"Palestinian Territory, Occupied",..,2,3,3,4,4,2,4,4,1,2
Thailand,25,30,36,51,76,85,102,68,60,50,33
Timor-Leste,2,..,..,..,..,..,..,..,..,..,..
Turkmenistan,..,..,..,..,..,..,1,5,..,..,..
Uzbekistan,2,4,..,8,1,1,6,4,..,2,2
Viet Nam,9,8,10,10,5,10,13,16,12,7,12
Yemen,2,1,..,2,1,..,..,..,2,..,..
Antigua and Barbuda,..,1,1,..,1,2,..,..,..,..,..
Argentina,160,138,142,193,247,195,169,121,104,114,88
Bahamas,..,3,2,2,4,..,3,..,3,1,..
Barbados,..,..,..,..,2,..,..,..,..,..,..
Belize,..,..,..,1,..,..,..,..,..,2,..
"Bolivia, Plurinational State of",30,21,37,46,32,55,48,35,21,21,31
Brazil,292,300,332,445,564,508,532,336,479,499,559
Canada,66,66,109,133,176,255,262,255,367,319,290
Chile,18,20,32,23,43,39,48,40,43,37,31
Colombia,60,37,61,55,89,110,75,75,56,42,47
Costa Rica,14,21,24,27,43,35,32,22,27,21,18
Cuba,35,29,38,40,57,85,109,70,88,79,50
Dominica,..,..,2,2,2,1,..,1,..,..,..
Dominican Republic,55,83,105,107,132,148,82,102,59,140,75
Ecuador,90,148,160,167,220,254,203,159,87,78,53
El Salvador,3,3,12,12,7,13,11,9,5,6,5
Jamaica,1,4,..,1,3,1,..,1,..,..,1
Grenada,..,..,1,..,..,..,..,..,2,1,..
Guatemala,4,7,6,8,3,11,6,9,4,5,6
Guyana,..,..,..,..,..,..,..,..,..,2,1
Haiti,..,..,1,6,2,1,2,..,..,1,2
Honduras,1,3,4,2,1,6,..,2,3,3,..
Mexico,67,59,76,54,95,82,100,105,86,91,49
Nicaragua,4,5,8,5,1,4,3,1,5,3,2
Panama,2,5,21,22,23,41,43,25,14,17,3
Paraguay,5,3,5,11,7,14,6,11,6,15,5
Peru,52,99,119,108,135,194,169,134,169,78,65
Saint Lucia,2,..,..,1,..,..,..,..,..,..,..
United States,425,575,749,777,840,1028,1034,1047,1049,897,699
Suriname,..,1,1,2,..,..,..,..,..,..,..
Trinidad and Tobago,..,..,..,..,6,1,..,..,..,..,..
Uruguay,6,11,20,8,16,13,6,12,6,9,4
"Venezuela, Bolivarian Republic of",55,49,56,83,87,78,86,53,34,34,44
Australia,128,124,143,205,219,230,258,268,278,233,203
Fiji,1,..,..,..,..,..,..,2,..,2,..
"Micronesia, Federated States of",..,..,1,..,..,..,..,..,..,..,..
Nauru,..,1,..,..,..,..,..,..,..,..,..
New Zealand,5,18,23,21,22,33,28,41,48,22,18
Palau,..,..,1,..,..,..,..,..,..,..,1
Papua New Guinea,..,..,..,1,..,..,..,..,..,..,..
Samoa,..,..,..,1,..,..,..,..,..,..,..
Tonga,..,1,..,..,..,2,..,..,..,..,..
